case_id,pipeline,modality,split,stratum,family,gold_status,repairable,method,predicted_cut,predicted_plan,predicted_cost,runtime_ms,optimal_set_membership,normalized_cost_regret,obligation_coverage,extra_elements,false_certification,full_recertification_success,partial_success,failed_steps,new_critical_violations,plan_cost,completed_steps
h10-c3:development:tabular-credit:00000,tabular-credit,tabular,development,S3,missing_provenance,CERTIFIED_UNIQUE,True,schema_only,[],[],0,0.017623000530875288,False,2.0,0.0,0,False,False,False,0,0,0,0
h10-c3:development:tabular-credit:00000,tabular-credit,tabular,development,S3,missing_provenance,CERTIFIED_UNIQUE,True,simple_or,"[""greedy-global-023"", ""greedy-single-1"", ""optimal-pair-01"", ""optimal-pair-23""]","[""greedy-global-023"", ""greedy-single-1"", ""optimal-pair-01"", ""optimal-pair-23""]",8.5,0.012152999261161312,False,1.125,1.0,2,False,False,False,4,0,0,0
h10-c3:development:tabular-credit:00000,tabular-credit,tabular,development,S3,missing_provenance,CERTIFIED_UNIQUE,True,independent_if_else,"[""greedy-single-1"", ""optimal-pair-01"", ""optimal-pair-23""]","[""optimal-pair-01"", ""greedy-single-1"", ""optimal-pair-23""]",6.0,0.024155999199138023,False,0.5,1.0,1,False,False,False,3,0,0,0
h10-c3:development:tabular-credit:00000,tabular-credit,tabular,development,S3,missing_provenance,CERTIFIED_UNIQUE,True,untyped_graph,"[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",4.5,0.02111000139848329,False,0.125,1.0,0,False,False,False,2,0,0,0
h10-c3:development:tabular-credit:00000,tabular-credit,tabular,development,S3,missing_provenance,CERTIFIED_UNIQUE,True,typed_without_optimization,"[""greedy-single-1"", ""optimal-pair-01"", ""optimal-pair-23""]","[""preflight-route"", ""optimal-pair-01"", ""greedy-single-1"", ""optimal-pair-23""]",6.0,0.02368500099692028,False,0.5,1.0,1,False,False,False,4,0,0,0
h10-c3:development:tabular-credit:00000,tabular-credit,tabular,development,S3,missing_provenance,CERTIFIED_UNIQUE,True,greedy_cover,"[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",4.5,0.013445000149658881,False,0.125,1.0,0,False,False,False,2,0,0,0
h10-c3:development:tabular-credit:00000,tabular-credit,tabular,development,S3,missing_provenance,CERTIFIED_UNIQUE,True,weighted_greedy,"[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",4.5,0.013865999790141359,False,0.125,1.0,0,False,False,False,2,0,0,0
h10-c3:development:tabular-credit:00000,tabular-credit,tabular,development,S3,missing_provenance,CERTIFIED_UNIQUE,True,full_fuzzyxai,"[""optimal-pair-01"", ""optimal-pair-23""]","[""authorize-route"", ""preflight-route"", ""optimal-pair-01"", ""optimal-pair-23""]",4.0,0.18169400027545635,True,0.0,1.0,0,False,True,False,0,0,4.3,4
h10-c3:development:tabular-credit:00001,tabular-credit,tabular,development,S3,version_mismatch,CERTIFIED_UNIQUE,True,schema_only,[],[],0,0.013816001228406094,False,2.0,0.0,0,False,False,False,0,0,0,0
h10-c3:development:tabular-credit:00001,tabular-credit,tabular,development,S3,version_mismatch,CERTIFIED_UNIQUE,True,simple_or,"[""greedy-global-023"", ""greedy-single-1"", ""optimal-pair-01"", ""optimal-pair-23""]","[""greedy-global-023"", ""greedy-single-1"", ""optimal-pair-01"", ""optimal-pair-23""]",8.5,0.00978800017037429,False,1.125,1.0,2,False,False,False,4,0,0,0
