case_id,modality,seed,perturbation,base_cut,perturbed_cut,exact_cut_match,Jaccard,obligation_coverage_match,optimal_equivalence_class_match,cost_regret,repair_success,recertification_success,new_critical_violations
h10-c6:tabular:1701:0000,tabular,1701,gaussian_sigma_0.05,"[""h10-c6:tabular:1701:0000:source""]","[""h10-c6:tabular:1701:0000:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1701:0000,tabular,1701,gaussian_sigma_0.10,"[""h10-c6:tabular:1701:0000:source""]","[""h10-c6:tabular:1701:0000:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1701:0000,tabular,1701,noncritical_metadata,"[""h10-c6:tabular:1701:0000:source""]","[""h10-c6:tabular:1701:0000:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1701:0000,tabular,1701,cost_minus_0.05,"[""h10-c6:tabular:1701:0000:source""]","[""h10-c6:tabular:1701:0000:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1701:0000,tabular,1701,cost_plus_0.05,"[""h10-c6:tabular:1701:0000:source""]","[""h10-c6:tabular:1701:0000:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1701:0000,tabular,1701,cost_minus_0.10,"[""h10-c6:tabular:1701:0000:source""]","[""h10-c6:tabular:1701:0000:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1701:0000,tabular,1701,cost_plus_0.10,"[""h10-c6:tabular:1701:0000:source""]","[""h10-c6:tabular:1701:0000:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1701:0000,tabular,1701,equivalent_node_order,"[""h10-c6:tabular:1701:0000:source""]","[""h10-c6:tabular:1701:0000:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1701:0000,tabular,1701,irrelevant_valid_evidence,"[""h10-c6:tabular:1701:0000:source""]","[""h10-c6:tabular:1701:0000:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,embedding_noise_sigma_0.05,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,embedding_noise_sigma_0.10,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,whitespace,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,punctuation,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,fixed_dictionary_synonym,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,noncritical_metadata,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,cost_minus_0.05,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,cost_plus_0.05,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,cost_minus_0.10,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,cost_plus_0.10,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,equivalent_node_order,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1702:0001,text,1702,irrelevant_valid_evidence,"[""h10-c6:text:1702:0001:source""]","[""h10-c6:text:1702:0001:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1703:0002,tabular,1703,gaussian_sigma_0.05,"[""h10-c6:tabular:1703:0002:source""]","[""h10-c6:tabular:1703:0002:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1703:0002,tabular,1703,gaussian_sigma_0.10,"[""h10-c6:tabular:1703:0002:source""]","[""h10-c6:tabular:1703:0002:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1703:0002,tabular,1703,noncritical_metadata,"[""h10-c6:tabular:1703:0002:source""]","[""h10-c6:tabular:1703:0002:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1703:0002,tabular,1703,cost_minus_0.05,"[""h10-c6:tabular:1703:0002:source""]","[""h10-c6:tabular:1703:0002:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1703:0002,tabular,1703,cost_plus_0.05,"[""h10-c6:tabular:1703:0002:source""]","[""h10-c6:tabular:1703:0002:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1703:0002,tabular,1703,cost_minus_0.10,"[""h10-c6:tabular:1703:0002:source""]","[""h10-c6:tabular:1703:0002:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1703:0002,tabular,1703,cost_plus_0.10,"[""h10-c6:tabular:1703:0002:source""]","[""h10-c6:tabular:1703:0002:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1703:0002,tabular,1703,equivalent_node_order,"[""h10-c6:tabular:1703:0002:source""]","[""h10-c6:tabular:1703:0002:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:tabular:1703:0002,tabular,1703,irrelevant_valid_evidence,"[""h10-c6:tabular:1703:0002:source""]","[""h10-c6:tabular:1703:0002:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1704:0003,text,1704,embedding_noise_sigma_0.05,"[""h10-c6:text:1704:0003:source""]","[""h10-c6:text:1704:0003:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1704:0003,text,1704,embedding_noise_sigma_0.10,"[""h10-c6:text:1704:0003:source""]","[""h10-c6:text:1704:0003:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1704:0003,text,1704,whitespace,"[""h10-c6:text:1704:0003:source""]","[""h10-c6:text:1704:0003:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1704:0003,text,1704,punctuation,"[""h10-c6:text:1704:0003:source""]","[""h10-c6:text:1704:0003:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1704:0003,text,1704,fixed_dictionary_synonym,"[""h10-c6:text:1704:0003:source""]","[""h10-c6:text:1704:0003:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1704:0003,text,1704,noncritical_metadata,"[""h10-c6:text:1704:0003:source""]","[""h10-c6:text:1704:0003:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1704:0003,text,1704,cost_minus_0.05,"[""h10-c6:text:1704:0003:source""]","[""h10-c6:text:1704:0003:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1704:0003,text,1704,cost_plus_0.05,"[""h10-c6:text:1704:0003:source""]","[""h10-c6:text:1704:0003:source""]",True,1.0,True,True,0.0,True,True,0
h10-c6:text:1704:0003,text,1704,cost_minus_0.10,"[""h10-c6:text:1704:0003:source""]","[""h10-c6:text:1704:0003:source""]",True,1.0,True,True,0.0,True,True,0
