incident_id,repository,variant,status,joint_hit_at_3,joint_hit_at_1,selected_cut_contains_gold,candidate_count,oracle_candidate_injected,gold_contract_registered,gold_sources,gold_contracts,top_k_signature,selected_cut
bugsinpy-fastapi-13,tiangolo/fastapi,BASELINE,DIAGNOSIS_CONFIRMED,0.0,0.0,0.0,3,False,False,"[[""fastapi/routing.py"", ""APIRouter""], [""fastapi/routing.py"", ""APIRouter.include_router""]]","[""CONFIGURATION""]","[{""contract"":""DATA_CONTRACT"",""node_id"":""class:fastapi/openapi/models.py::Components""},{""contract"":""DATA_CONTRACT"",""node_id"":""function:fastapi/routing.py::get_app""},{""contract"":""DATA_CONTRACT"",""node_id"":""class:fastapi/openapi/models.py::MediaType""}]","[""class:fastapi/openapi/models.py::Components""]"
bugsinpy-fastapi-13,tiangolo/fastapi,ORACLE_CANDIDATE,DIAGNOSIS_CONFIRMED,0.0,0.0,0.0,3,True,False,"[[""fastapi/routing.py"", ""APIRouter""], [""fastapi/routing.py"", ""APIRouter.include_router""]]","[""CONFIGURATION""]","[{""contract"":""DATA_CONTRACT"",""node_id"":""class:fastapi/openapi/models.py::Components""},{""contract"":""DATA_CONTRACT"",""node_id"":""function:fastapi/routing.py::get_app""},{""contract"":""DATA_CONTRACT"",""node_id"":""class:fastapi/openapi/models.py::MediaType""}]","[""class:fastapi/openapi/models.py::Components""]"
bugsinpy-fastapi-13,tiangolo/fastapi,ORACLE_CONTRACT,INSUFFICIENT_EVIDENCE,0.0,0.0,0.0,0,False,False,"[[""fastapi/routing.py"", ""APIRouter""], [""fastapi/routing.py"", ""APIRouter.include_router""]]","[""CONFIGURATION""]",[],[]
bugsinpy-fastapi-13,tiangolo/fastapi,ORACLE_BOTH,INSUFFICIENT_EVIDENCE,0.0,0.0,0.0,0,True,False,"[[""fastapi/routing.py"", ""APIRouter""], [""fastapi/routing.py"", ""APIRouter.include_router""]]","[""CONFIGURATION""]",[],[]
bugsinpy-tornado-16,tornadoweb/tornado,BASELINE,INSUFFICIENT_EVIDENCE,0.0,0.0,0.0,0,False,False,"[[""tornado/gen.py"", ""WaitIterator""], [""tornado/gen.py"", ""WaitIterator.next""]]","[""CONFIGURATION""]",[],[]
bugsinpy-tornado-16,tornadoweb/tornado,ORACLE_CANDIDATE,INSUFFICIENT_EVIDENCE,0.0,0.0,0.0,0,True,False,"[[""tornado/gen.py"", ""WaitIterator""], [""tornado/gen.py"", ""WaitIterator.next""]]","[""CONFIGURATION""]",[],[]
bugsinpy-tornado-16,tornadoweb/tornado,ORACLE_CONTRACT,INSUFFICIENT_EVIDENCE,0.0,0.0,0.0,0,False,False,"[[""tornado/gen.py"", ""WaitIterator""], [""tornado/gen.py"", ""WaitIterator.next""]]","[""CONFIGURATION""]",[],[]
bugsinpy-tornado-16,tornadoweb/tornado,ORACLE_BOTH,INSUFFICIENT_EVIDENCE,0.0,0.0,0.0,0,True,False,"[[""tornado/gen.py"", ""WaitIterator""], [""tornado/gen.py"", ""WaitIterator.next""]]","[""CONFIGURATION""]",[],[]
bugsinpy-black-18,psf/black,BASELINE,INSUFFICIENT_EVIDENCE,0.0,0.0,0.0,0,False,False,"[[""black.py"", ""format_file_in_place""], [""black.py"", ""format_stdin_to_stdout""], [""black.py"", ""lib2to3_parse""], [""black.py"", ""prepare_input""]]","[""CONFIGURATION""]",[],[]
bugsinpy-black-18,psf/black,ORACLE_CANDIDATE,DIAGNOSIS_CONFIRMED,0.0,0.0,0.0,2,True,False,"[[""black.py"", ""format_file_in_place""], [""black.py"", ""format_stdin_to_stdout""], [""black.py"", ""lib2to3_parse""], [""black.py"", ""prepare_input""]]","[""CONFIGURATION""]","[{""contract"":""ARTIFACT_PROVENANCE"",""node_id"":""function:black.py::format_stdin_to_stdout""},{""contract"":""ARTIFACT_PROVENANCE"",""node_id"":""function:black.py::format_file_in_place""}]","[""function:black.py::format_stdin_to_stdout""]"
bugsinpy-black-18,psf/black,ORACLE_CONTRACT,INSUFFICIENT_EVIDENCE,0.0,0.0,0.0,0,False,False,"[[""black.py"", ""format_file_in_place""], [""black.py"", ""format_stdin_to_stdout""], [""black.py"", ""lib2to3_parse""], [""black.py"", ""prepare_input""]]","[""CONFIGURATION""]",[],[]
bugsinpy-black-18,psf/black,ORACLE_BOTH,INSUFFICIENT_EVIDENCE,0.0,0.0,0.0,0,True,False,"[[""black.py"", ""format_file_in_place""], [""black.py"", ""format_stdin_to_stdout""], [""black.py"", ""lib2to3_parse""], [""black.py"", ""prepare_input""]]","[""CONFIGURATION""]",[],[]
