incident_id,repository,variant,status,available,unavailable_reason,candidate_recall_at_5,candidate_recall_at_10,candidate_recall_at_20,reciprocal_rank,file_hit_at_3,symbol_hit_at_3,contract_correct,gold_contracts,predicted_contract,joint_hit_at_3,coverage,retrieval_coverage,contract_coverage,confirmed_diagnosis_coverage,repair_coverage,confirmed_correct,false_localization,candidate_count,context_lines,search_space_reduction,runtime_ms,evidence_request_count,active_evidence_status,active_evidence_details,route,top_k_signature,trajectory,evidence_requests
bugsinpy-fastapi-13,tiangolo/fastapi,R0,DIAGNOSIS_CANDIDATES,True,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,"[""CONFIGURATION""]",CONFIGURATION,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,1514,0.976905311778291,165.996565,0,NOT_REQUESTED,{},DATAFLOW_ASSERTION,"[""class:fastapi/applications.py::FastAPI"",""class:fastapi/routing.py::APIRoute"",""class:fastapi/routing.py::APIRouter"",""class:fastapi/openapi/models.py::Components"",""function:fastapi/openapi/utils.py::get_openapi_path"",""function:fastapi/routing.py::APIRoute.__init__"",""function:fastapi/routing.py::APIRouter.add_api_route"",""function:fastapi/routing.py::APIRouter.include_router"",""function:fastapi/applications.py::FastAPI.__init__"",""function:fastapi/applications.py::FastAPI.include_router""]",[],[]
bugsinpy-fastapi-13,tiangolo/fastapi,R1,DIAGNOSIS_CANDIDATES,True,,0.0,1.0,1.0,0.125,0.0,0.0,1.0,"[""CONFIGURATION""]",CONFIGURATION,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,1221,0.976905311778291,110.501178,0,NOT_REQUESTED,{},DATAFLOW_ASSERTION,"[""class:fastapi/openapi/models.py::APIKey"",""function:fastapi/routing.py::APIRouter.get"",""function:fastapi/applications.py::FastAPI.include_router"",""function:fastapi/applications.py::FastAPI.__init__"",""class:fastapi/params.py::Body"",""function:fastapi/routing.py::APIRouter.add_api_route"",""function:fastapi/dependencies/utils.py::get_dependant"",""function:fastapi/routing.py::APIRouter.include_router"",""function:fastapi/routing.py::APIRoute.__init__"",""class:fastapi/security/http.py::HTTPAuthorizationCredentials""]",[],[]
bugsinpy-fastapi-13,tiangolo/fastapi,R3,DIAGNOSIS_CANDIDATES,True,,0.0,1.0,1.0,0.14285714285714285,0.0,0.0,1.0,"[""CONFIGURATION""]",CONFIGURATION,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,1568,0.976905311778291,291.682093,0,NOT_REQUESTED,{},DATAFLOW_ASSERTION,"[""function:fastapi/openapi/utils.py::get_openapi_path"",""class:fastapi/applications.py::FastAPI"",""function:fastapi/routing.py::APIRouter.get"",""function:fastapi/routing.py::APIRouter.add_api_route"",""class:fastapi/routing.py::APIRoute"",""function:fastapi/routing.py::APIRoute.__init__"",""function:fastapi/routing.py::APIRouter.include_router"",""function:fastapi/applications.py::FastAPI.include_router"",""function:fastapi/routing.py::APIRouter.api_route.decorator"",""class:fastapi/routing.py::APIRouter""]",[],[]
bugsinpy-fastapi-13,tiangolo/fastapi,R5,DIAGNOSIS_CANDIDATES,True,,1.0,1.0,1.0,0.2,0.0,0.0,1.0,"[""CONFIGURATION""]",CONFIGURATION,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,1474,0.976905311778291,670.144437,0,NOT_REQUESTED,{},DATAFLOW_ASSERTION,"[""function:fastapi/routing.py::APIRouter.get"",""function:fastapi/openapi/utils.py::get_openapi_path"",""class:fastapi/applications.py::FastAPI"",""function:fastapi/routing.py::APIRouter.add_api_route"",""function:fastapi/routing.py::APIRouter.include_router"",""file:tests/test_additional_responses_router.py"",""function:fastapi/applications.py::FastAPI.include_router"",""function:fastapi/routing.py::APIRouter.api_route.decorator"",""class:fastapi/routing.py::APIRouter"",""function:fastapi/routing.py::APIRouter.api_route""]",[],[]
bugsinpy-fastapi-13,tiangolo/fastapi,R6,DIAGNOSIS_CANDIDATES,True,,0.0,1.0,1.0,0.16666666666666666,0.0,0.0,1.0,"[""CONFIGURATION""]",CONFIGURATION,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,1474,0.976905311778291,655.979284,1,ACTIVE_EVIDENCE_APPLIED,"{""contract_after"": ""PROTOCOL_RESPONSE"", ""contract_before"": ""PROTOCOL_RESPONSE"", ""entropy_after"": ""1.081113170"", ""entropy_before"": ""1.068700424"", ""event_id"": ""trace-77d3301593017c298ca2829c"", ""event_kind"": ""traceback_frame"", ""observed_node"": ""file:tests/test_additional_responses_router.py"", ""rank_after"": ""2"", ""rank_before"": ""6""}",DATAFLOW_ASSERTION,"[""function:fastapi/routing.py::APIRouter.get"",""file:tests/test_additional_responses_router.py"",""function:fastapi/openapi/utils.py::get_openapi_path"",""class:fastapi/applications.py::FastAPI"",""function:fastapi/routing.py::APIRouter.add_api_route"",""function:fastapi/routing.py::APIRouter.include_router"",""function:fastapi/applications.py::FastAPI.include_router"",""function:fastapi/routing.py::APIRouter.api_route.decorator"",""class:fastapi/routing.py::APIRouter"",""function:fastapi/routing.py::APIRouter.api_route""]",[],"[{""command"": [""python"", ""-m"", ""pytest"", ""tests/test_additional_responses_router.py::test_openapi_schema"", ""-x"", ""-vv"", ""--showlocals""], ""distinguished_hypotheses"": [""function:fastapi/routing.py::APIRouter.get"", ""file:tests/test_additional_responses_router.py"", ""function:fastapi/openapi/utils.py::get_openapi_path""], ""estimated_cost"": 1.0, ""expected_observation"": ""runtime types and values at the top candidate frames"", ""safety_level"": ""READ_ONLY_TEST_EXECUTION"", ""timeout_seconds"": 300, ""utility"": 3.243339509152767}]"
bugsinpy-tornado-16,tornadoweb/tornado,R0,DIAGNOSIS_CANDIDATES,True,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[""CONFIGURATION""]",CONFIGURATION,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,792,0.9935296020705273,323.153981,0,NOT_REQUESTED,{},EXECUTED_SLICE_GRAPH,"[""class:tornado/ioloop.py::PollIOLoop"",""file:tornado/__init__.py"",""class:tornado/concurrent.py::DummyExecutor"",""class:tornado/concurrent.py::Future"",""function:tornado/concurrent.py::Future.__init__"",""function:tornado/concurrent.py::Future._clear_tb_log"",""function:tornado/concurrent.py::Future._set_done"",""function:tornado/concurrent.py::Future.add_done_callback"",""function:tornado/concurrent.py::Future.done"",""function:tornado/concurrent.py::Future.result""]",[],[]
bugsinpy-tornado-16,tornadoweb/tornado,R1,DIAGNOSIS_CANDIDATES,True,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[""CONFIGURATION""]",CONFIGURATION,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,1252,0.9935296020705273,91.471625,0,NOT_REQUESTED,{},EXECUTED_SLICE_GRAPH,"[""function:tornado/gen.py::Runner.run"",""function:tornado/ioloop.py::IOLoop.run_sync"",""function:tornado/concurrent.py::Future.result"",""function:tornado/ioloop.py::IOLoop.start"",""function:tornado/stack_context.py::wrap.wrapped"",""class:tornado/gen.py::BadYieldError"",""function:tornado/concurrent.py::Future.set_exc_info"",""class:tornado/template.py::BaseLoader"",""function:tornado/concurrent.py::Future.add_done_callback"",""class:tornado/web.py::Application""]",[],[]
bugsinpy-tornado-16,tornadoweb/tornado,R3,DIAGNOSIS_CANDIDATES,True,,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,1.0,"[""CONFIGURATION""]",CONFIGURATION,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,1756,0.9935296020705273,676.974255,0,NOT_REQUESTED,{},EXECUTED_SLICE_GRAPH,"[""function:tornado/concurrent.py::Future.result"",""function:tornado/ioloop.py::IOLoop.run_sync"",""function:tornado/gen.py::Runner.run"",""function:tornado/testing.py::gen_test.wrap.post_coroutine"",""function:tornado/testing.py::_TestMethodWrapper.__call__"",""class:tornado/concurrent.py::Future"",""function:tornado/concurrent.py::Future.set_exc_info"",""class:tornado/ioloop.py::PollIOLoop"",""function:tornado/testing.py::gen_test"",""class:tornado/web.py::Application""]",[],[]
bugsinpy-tornado-16,tornadoweb/tornado,R5,DIAGNOSIS_CANDIDATES,True,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[""CONFIGURATION""]",CONFIGURATION,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,1684,0.9935296020705273,537.821063,0,NOT_REQUESTED,{},EXECUTED_SLICE_GRAPH,"[""function:tornado/concurrent.py::Future.result"",""function:tornado/ioloop.py::IOLoop.run_sync"",""function:tornado/gen.py::Runner.run"",""function:tornado/testing.py::_TestMethodWrapper.__call__"",""function:tornado/testing.py::gen_test.wrap.post_coroutine"",""function:tornado/concurrent.py::Future.add_done_callback"",""class:tornado/concurrent.py::Future"",""function:tornado/concurrent.py::Future.set_exc_info"",""class:tornado/ioloop.py::PollIOLoop"",""function:tornado/ioloop.py::IOLoop.call_at""]",[],[]
bugsinpy-tornado-16,tornadoweb/tornado,R6,DIAGNOSIS_CANDIDATES,True,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[""CONFIGURATION""]",CONFIGURATION,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,1684,0.9935296020705273,533.305903,1,ACTIVE_EVIDENCE_UNAVAILABLE,"{""contract_after"": ""API_BEHAVIOR"", ""contract_before"": ""API_BEHAVIOR"", ""reason"": ""probe_did_not_distinguish_candidates""}",EXECUTED_SLICE_GRAPH,"[""function:tornado/concurrent.py::Future.result"",""function:tornado/ioloop.py::IOLoop.run_sync"",""function:tornado/gen.py::Runner.run"",""function:tornado/testing.py::_TestMethodWrapper.__call__"",""function:tornado/testing.py::gen_test.wrap.post_coroutine"",""function:tornado/concurrent.py::Future.add_done_callback"",""class:tornado/concurrent.py::Future"",""function:tornado/concurrent.py::Future.set_exc_info"",""class:tornado/ioloop.py::PollIOLoop"",""function:tornado/ioloop.py::IOLoop.call_at""]",[],"[{""command"": [""python"", ""-m"", ""pytest"", ""tornado/test/gen_test.py"", ""-x"", ""-vv"", ""--showlocals""], ""distinguished_hypotheses"": [""function:tornado/concurrent.py::Future.result"", ""function:tornado/ioloop.py::IOLoop.run_sync"", ""function:tornado/gen.py::Runner.run""], ""estimated_cost"": 1.0, ""expected_observation"": ""runtime types and values at the top candidate frames"", ""safety_level"": ""READ_ONLY_TEST_EXECUTION"", ""timeout_seconds"": 300, ""utility"": 3.265259493641753}]"
