composite,detected,detection_delay,erroneous_repair_actions,hard_block,incident_id,manual_review,method,model_line,recertified,repair_delay,repair_success,start_event,trace_size,unknown
True,True,0,2,False,incident-000,False,simple_or,0,True,20,False,10259,0,False
True,True,0,0,False,incident-000,True,independent_if_else,0,False,70,False,10259,0,False
True,True,0,0,True,incident-000,True,typed_route,0,False,50,False,10259,0,False
True,True,0,0,False,incident-000,True,full_h10,0,True,20,True,10259,1281,False
False,True,0,1,False,incident-001,False,simple_or,1,True,10,False,26926,0,False
False,True,0,0,False,incident-001,True,independent_if_else,1,False,60,False,26926,0,False
False,True,0,0,True,incident-001,True,typed_route,1,False,50,False,26926,0,False
False,True,0,0,False,incident-001,False,full_h10,1,True,10,True,26926,904,False
False,True,0,1,False,incident-002,False,simple_or,2,True,10,False,43007,0,True
False,True,0,0,False,incident-002,True,independent_if_else,2,False,60,False,43007,0,True
False,True,0,0,True,incident-002,True,typed_route,2,False,50,False,43007,0,True
False,True,0,1,False,incident-002,True,full_h10,2,True,10,False,43007,881,True
False,True,0,1,False,incident-003,False,simple_or,3,True,10,False,59742,0,False
False,True,0,0,False,incident-003,True,independent_if_else,3,False,60,False,59742,0,False
False,True,0,0,True,incident-003,True,typed_route,3,False,50,False,59742,0,False
False,True,0,0,False,incident-003,False,full_h10,3,True,10,True,59742,922,False
True,True,0,2,False,incident-004,False,simple_or,0,True,20,False,75353,0,True
True,True,0,0,False,incident-004,True,independent_if_else,0,False,70,False,75353,0,True
True,True,0,0,True,incident-004,True,typed_route,0,False,50,False,75353,0,True
True,True,0,0,False,incident-004,False,full_h10,0,True,20,True,75353,1259,True
False,True,0,1,False,incident-005,False,simple_or,1,True,10,False,91992,0,False
False,True,0,0,False,incident-005,True,independent_if_else,1,False,60,False,91992,0,False
False,True,0,0,True,incident-005,True,typed_route,1,False,50,False,91992,0,False
False,True,0,0,False,incident-005,False,full_h10,1,True,10,True,91992,915,False
False,True,0,1,False,incident-006,False,simple_or,2,True,10,False,108989,0,True
False,True,0,0,False,incident-006,True,independent_if_else,2,False,60,False,108989,0,True
False,True,0,0,True,incident-006,True,typed_route,2,False,50,False,108989,0,True
False,True,0,0,False,incident-006,True,full_h10,2,True,10,True,108989,913,True
False,True,0,1,False,incident-007,False,simple_or,3,True,10,False,124457,0,False
False,True,0,0,False,incident-007,True,independent_if_else,3,False,60,False,124457,0,False
False,True,0,0,True,incident-007,True,typed_route,3,False,50,False,124457,0,False
False,True,0,0,False,incident-007,False,full_h10,3,True,10,True,124457,962,False
True,True,0,2,False,incident-008,False,simple_or,0,True,20,False,141359,0,False
True,True,0,0,False,incident-008,True,independent_if_else,0,False,70,False,141359,0,False
True,True,0,0,True,incident-008,True,typed_route,0,False,50,False,141359,0,False
True,True,0,0,False,incident-008,True,full_h10,0,True,20,True,141359,1287,False
False,True,0,1,False,incident-009,False,simple_or,1,True,10,False,157067,0,False
False,True,0,0,False,incident-009,True,independent_if_else,1,False,60,False,157067,0,False
False,True,0,0,True,incident-009,True,typed_route,1,False,50,False,157067,0,False
False,True,0,0,False,incident-009,False,full_h10,1,True,10,True,157067,960,False
False,True,0,1,False,incident-010,False,simple_or,2,True,10,False,173393,0,False
False,True,0,0,False,incident-010,True,independent_if_else,2,False,60,False,173393,0,False
False,True,0,0,True,incident-010,True,typed_route,2,False,50,False,173393,0,False
False,True,0,0,False,incident-010,False,full_h10,2,True,10,True,173393,914,False
False,True,0,1,False,incident-011,False,simple_or,3,True,10,False,190347,0,False
False,True,0,0,False,incident-011,True,independent_if_else,3,False,60,False,190347,0,False
False,True,0,0,True,incident-011,True,typed_route,3,False,50,False,190347,0,False
False,True,0,0,False,incident-011,False,full_h10,3,True,10,True,190347,897,False
True,True,0,2,False,incident-012,False,simple_or,0,True,20,False,206877,0,False
True,True,0,0,False,incident-012,True,independent_if_else,0,False,70,False,206877,0,False
True,True,0,0,True,incident-012,True,typed_route,0,False,50,False,206877,0,False
True,True,0,0,False,incident-012,False,full_h10,0,True,20,True,206877,1273,False
False,True,0,1,False,incident-013,False,simple_or,1,True,10,False,222375,0,False
False,True,0,0,False,incident-013,True,independent_if_else,1,False,60,False,222375,0,False
