source_index,incident_id,repository_id,accepted,reason,contract_family,source_component,changed_files,gold_repair_operation,route_relevance_score
0,astropy__astropy-12907,astropy/astropy,False,eligible_not_selected_by_locked_quota,MODEL_EXPLAINER_VERSION,model,"[""astropy/modeling/separable.py""]",model_explainer_version_alignment,6
1,astropy__astropy-14182,astropy/astropy,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,dependencies,"[""astropy/io/ascii/rst.py""]",artifact_regeneration,9
2,astropy__astropy-14365,astropy/astropy,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""astropy/io/ascii/qdp.py""]",artifact_regeneration,7
3,astropy__astropy-14995,astropy/astropy,False,eligible_not_selected_by_locked_quota,DEPENDENCY_VERSION,dependencies,"[""astropy/nddata/mixins/ndarithmetic.py""]",dependency_pin_update,8
4,astropy__astropy-6938,astropy/astropy,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,artifact,"[""astropy/io/fits/fitsrec.py""]",schema_synchronization,4
5,astropy__astropy-7746,astropy/astropy,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,runtime,"[""astropy/wcs/wcs.py""]",schema_synchronization,16
6,django__django-10914,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,configuration,"[""django/conf/global_settings.py""]",artifact_regeneration,19
7,django__django-10924,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,model,"[""django/db/models/fields/__init__.py""]",artifact_regeneration,25
8,django__django-11001,django/django,False,outside_locked_route_contracts,ARTIFACT_PROVENANCE,model,"[""django/db/models/sql/compiler.py""]",artifact_regeneration,2
9,django__django-11019,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,data_schema,"[""django/forms/widgets.py""]",artifact_regeneration,13
10,django__django-11039,django/django,False,outside_locked_route_contracts,PIPELINE_CONFIGURATION,preprocessing,"[""django/core/management/commands/sqlmigrate.py""]",configuration_correction,2
11,django__django-11049,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,model,"[""django/db/models/fields/__init__.py""]",configuration_correction,3
12,django__django-11099,django/django,False,outside_locked_route_contracts,,runtime,"[""django/contrib/auth/validators.py""]",,1
13,django__django-11133,django/django,False,outside_locked_route_contracts,DEPENDENCY_VERSION,dependencies,"[""django/http/response.py""]",dependency_pin_update,2
14,django__django-11179,django/django,False,eligible_not_selected_by_locked_quota,DEPENDENCY_VERSION,model,"[""django/db/models/deletion.py""]",dependency_pin_update,3
15,django__django-11283,django/django,False,outside_locked_route_contracts,,model,"[""django/contrib/auth/migrations/0011_update_proxy_permissions.py""]",,1
16,django__django-11422,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,configuration,"[""django/utils/autoreload.py""]",artifact_regeneration,8
17,django__django-11564,django/django,False,feature_or_enhancement,PIPELINE_CONFIGURATION,configuration,"[""django/conf/__init__.py""]",configuration_correction,15
18,django__django-11583,django/django,True,accepted_for_h10_c5,ARTIFACT_PROVENANCE,dependencies,"[""django/utils/autoreload.py""]",artifact_regeneration,72
19,django__django-11620,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""django/views/debug.py""]",artifact_regeneration,8
20,django__django-11630,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,model,"[""django/core/checks/model_checks.py""]",configuration_correction,6
21,django__django-11742,django/django,False,outside_locked_route_contracts,SERIALIZATION,model,"[""django/db/models/fields/__init__.py""]",serialization_format_correction,2
22,django__django-11797,django/django,False,outside_locked_route_contracts,,model,"[""django/db/models/lookups.py""]",,1
23,django__django-11815,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""django/db/migrations/serializer.py""]",serialization_format_correction,12
24,django__django-11848,django/django,False,outside_locked_route_contracts,DATA_CONTRACT,data_schema,"[""django/utils/http.py""]",schema_synchronization,2
25,django__django-11905,django/django,False,outside_locked_route_contracts,ARTIFACT_PROVENANCE,model,"[""django/db/models/lookups.py""]",artifact_regeneration,2
26,django__django-11910,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,model,"[""django/db/migrations/autodetector.py""]",configuration_correction,3
27,django__django-11964,django/django,False,outside_locked_route_contracts,ARTIFACT_PROVENANCE,model,"[""django/db/models/enums.py""]",artifact_regeneration,2
28,django__django-11999,django/django,False,eligible_not_selected_by_locked_quota,DEPENDENCY_VERSION,model,"[""django/db/models/fields/__init__.py""]",dependency_pin_update,3
29,django__django-12113,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""django/db/backends/sqlite3/creation.py""]",artifact_regeneration,22
30,django__django-12125,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,model,"[""django/db/migrations/serializer.py""]",serialization_format_correction,10
31,django__django-12184,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,runtime,"[""django/urls/resolvers.py""]",artifact_regeneration,7
32,django__django-12284,django/django,False,outside_locked_route_contracts,,model,"[""django/db/models/fields/__init__.py""]",,1
33,django__django-12286,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,configuration,"[""django/core/checks/translation.py""]",configuration_correction,13
34,django__django-12308,django/django,False,eligible_not_selected_by_locked_quota,SERIALIZATION,artifact,"[""django/contrib/admin/utils.py""]",serialization_format_correction,8
35,django__django-12453,django/django,True,accepted_for_h10_c5,SERIALIZATION,artifact,"[""django/db/backends/base/creation.py""]",serialization_format_correction,38
36,django__django-12470,django/django,False,outside_locked_route_contracts,ARTIFACT_PROVENANCE,model,"[""django/db/models/sql/compiler.py""]",artifact_regeneration,2
37,django__django-12497,django/django,False,outside_locked_route_contracts,,model,"[""django/db/models/fields/related.py""]",,1
38,django__django-12589,django/django,False,eligible_not_selected_by_locked_quota,PREPROCESSING_SCHEMA,model,"[""django/db/models/sql/query.py""]",schema_synchronization,7
39,django__django-12700,django/django,False,eligible_not_selected_by_locked_quota,PIPELINE_CONFIGURATION,configuration,"[""django/views/debug.py""]",configuration_correction,15
40,django__django-12708,django/django,False,eligible_not_selected_by_locked_quota,DATA_CONTRACT,data_schema,"[""django/db/backends/base/schema.py""]",schema_synchronization,22
41,django__django-12747,django/django,False,eligible_not_selected_by_locked_quota,ARTIFACT_PROVENANCE,model,"[""django/db/models/deletion.py""]",artifact_regeneration,3
42,django__django-12856,django/django,False,outside_locked_route_contracts,PIPELINE_CONFIGURATION,model,"[""django/db/models/base.py""]",configuration_correction,2
43,django__django-12908,django/django,False,outside_locked_route_contracts,,model,"[""django/db/models/query.py""]",,1
